model,k,n,rss,R2,AIC,S0,c,p,p_ci95,alpha,level,N
M_exp(p=1),2,71,0.0025994161588115405,0.9834551459703784,-721.2755286265907,1.0392261912666525,0.04552604170579436,1.0,,,1,4
M_gauss(p=2),2,71,0.0010692315312315211,0.9931945181043338,-784.3481422087076,0.9969430196839937,0.00996246086857159,2.0,,,1,4
M_quartic(p=4),2,71,0.01889515665714802,0.8797354522477557,-580.4385965110757,0.9730589289720235,0.0006158401053746785,4.0,,,1,4
M_freep,3,71,9.816279926677569e-05,0.9993752100141786,-951.9009813511518,1.0082876984362559,0.018199967878414273,1.5841931970412462,0.030218521376682763,,1,4
M_power,2,71,0.02196440773635222,0.8602001766384402,-569.7518408481274,0.9895229542389571,,,,0.07873838604029386,1,4
M_exp(p=1),2,71,0.311862032502898,0.5956369432000541,-381.3790731367103,0.9917478397598011,-0.07849870753088563,1.0,,,2a,4
M_gauss(p=2),2,71,0.3868866558649096,0.4983593560745816,-366.07354032031117,1.075476825341504,-0.01563543107568454,2.0,,,2a,4
M_quartic(p=4),2,71,0.5589808945891556,0.27522045112452465,-339.9467101515446,1.1307962288378854,-0.0007631701090931683,4.0,,,2a,4
M_freep,3,71,0.771242646228798,-4.683667231830668e-09,-315.092680216321,1.1833337957533405,1.1068651233090427e-08,0.05000000000210149,32949702.377836537,,2a,4
M_power,2,71,0.30808933289011986,0.6005286587306928,-382.2432215009521,1.0719022714370987,,,,-0.14576145456299172,2a,4
M_exp(p=1),2,71,23.64451758133805,0.7652697448048489,-74.06795086405901,3.920955074640854,1.0168669711762095,1.0,,,2b,4
M_gauss(p=2),2,71,9.83621948621382,0.902351219380479,-136.3391991232642,1.7299463021476325,0.2404426647585755,2.0,,,2b,4
M_quartic(p=4),2,71,0.3524266546664376,0.9965012947165088,-372.6970765375435,1.0681844842298875,0.01659606437884726,4.0,,,2b,4
M_freep,3,71,0.1502304314863494,0.9985085917951356,-431.2368029854921,1.0083834979420887,0.009294978729749435,4.432740636567134,0.09272800090981151,,2b,4
M_power,2,71,44.775231786899,0.5554951989354112,-28.732757420715508,1.1799316076226547,,,,1.602142554015683,2b,4
M_exp(p=1),2,71,0.030815520370481235,0.9464264071600605,-545.7115846229643,1.097372006710304,0.0854533253123771,1.0,,,1,6
M_gauss(p=2),2,71,0.00126122016974012,0.9978073355554982,-772.6232415623915,1.0175881678596883,0.019106262807978634,2.0,,,1,6
M_quartic(p=4),2,71,0.03862975372339026,0.9328411569039576,-529.6652771789971,0.9732178967693258,0.001213385218190545,4.0,,,1,6
M_freep,3,71,0.0009588712052300644,0.9983329771843105,-790.0827905882493,1.012605886240303,0.015949984965621933,2.1287179225503317,0.05738735129524885,,1,6
M_power,2,71,0.1255648111703005,0.7817022724981973,-445.9705306030132,0.9980968436732814,,,,0.14361849170003388,1,6
M_exp(p=1),2,71,5.905659908740418,0.06286087401915208,-172.56057623768055,1.0040372589024946,0.07289513847570853,1.0,,,2a,6
M_gauss(p=2),2,71,6.1728648366325505,0.02045948341215098,-169.41869491335112,0.9006559949974615,0.009055710870342765,2.0,,,2a,6
M_quartic(p=4),2,71,6.270826278829394,0.004914480526986065,-168.3007941201901,0.8375018309089287,-0.000291512025336828,4.0,,,2a,6
M_freep,3,71,5.6619839508184535,0.10152857208479305,-173.55229226779085,27.138284027970176,3.3442105665960113,0.0500000000000426,2.5503525677738352,,2a,6
M_power,2,71,5.653871667900938,0.10281586898988215,-175.654091407904,0.9579035863847167,,,,0.17240210509249718,2a,6
M_exp(p=1),2,71,23.645456310309708,0.7652579327316402,-74.06513209502569,3.92080615400181,1.0168537240483408,1.0,,,2b,6
M_gauss(p=2),2,71,9.836771258242827,0.9023447046188274,-136.33521642286254,1.7299094811436078,0.24044052008525338,2.0,,,2b,6
M_quartic(p=4),2,71,0.352501579805675,0.9965005137362112,-372.6819836964691,1.0681697367331018,0.016595969753440187,4.0,,,2b,6
M_freep,3,71,0.1502395009706297,0.9985084859188006,-431.2325168103076,1.0083612897587155,0.009294036087229278,4.432812241128953,0.09273256602690816,,2b,6
M_power,2,71,44.776547876272154,0.55547741284088,-28.730670530966307,1.1798946164404915,,,,1.6021083978010215,2b,6
M_exp(p=1),2,71,0.08148894373360216,0.9851708312338743,-476.6677141329651,1.2664613634111297,0.26947773530429425,1.0,,,1,8
M_gauss(p=2),2,71,0.10937148040296035,0.9800968319530724,-455.7736343635822,0.9877339682069727,0.058528644676341175,2.0,,,1,8
M_quartic(p=4),2,71,0.8748825179731905,0.8407909108262539,-308.1405336136134,0.8536617372283578,0.0035605773789675627,4.0,,,1,8
M_freep,3,71,0.03291182855096407,0.9940107818604257,-539.0388153034717,1.0988980036574727,0.13921292598501053,1.4111843910007953,0.08945415302282204,,1,8
M_power,2,71,0.708401606741723,0.8710867204892255,-323.1271027212588,0.9491883250460973,,,,0.46859963333834076,1,8
M_exp(p=1),2,71,0.4614403354305111,0.8871678878484132,-353.56185000566626,1.1625850998728868,0.22060761583969934,1.0,,,2a,8
M_gauss(p=2),2,71,0.8474444390701985,0.7927815610176396,-310.4029013051371,0.9341238595103226,0.04541101644130231,2.0,,,2a,8
M_quartic(p=4),2,71,1.8358436347214953,0.551096644612971,-255.51747858679312,0.8205831688354942,0.0024867995810239248,4.0,,,2a,8
M_freep,3,71,0.4186737835661576,0.8976252319637545,-358.4673600179344,1.4996396896405173,0.4678655614922977,0.6182243338739093,0.319050698426197,,2a,8
M_power,2,71,0.5493380001266668,0.8656750134736442,-341.1822079606232,0.9302660059201574,,,,0.4029945445050298,2a,8
M_exp(p=1),2,71,23.64451758133805,0.7652697448048489,-74.06795086405901,3.920955074640854,1.0168669711762095,1.0,,,2b,8
M_gauss(p=2),2,71,9.836219486213816,0.902351219380479,-136.33919912326422,1.729946302147632,0.24044266475857545,2.0,,,2b,8
M_quartic(p=4),2,71,0.3524266546664377,0.9965012947165088,-372.6970765375435,1.0681844842298875,0.01659606437884726,4.0,,,2b,8
M_freep,3,71,0.1502304314863494,0.9985085917951356,-431.2368029854921,1.0083834977508033,0.00929497871065998,4.43274063809787,0.09272800141652532,,2b,8
M_power,2,71,44.775231786899,0.5554951989354112,-28.732757420715508,1.1799316076226545,,,,1.6021425540156828,2b,8
M_exp(p=1),2,71,0.7135055716613316,0.9773132597465088,-322.6173886257179,1.630855963684729,0.6421044898824029,1.0,,,1,10
M_gauss(p=2),2,71,2.211506827709161,0.9296825659647767,-242.29940976614645,0.8850948532662214,0.13637131014631196,2.0,,,1,10
M_quartic(p=4),2,71,8.221478342735182,0.7385885253466982,-149.0710184337942,0.6184417528619047,0.007983611536256936,4.0,,,1,10
M_freep,3,71,0.7135008109184691,0.9773134111198702,-320.61786236255244,1.633862932860168,0.6438503257295373,0.9984379914207467,0.1574154392912424,,1,10
M_power,2,71,3.0079824821112924,0.9043576953438263,-220.46013092631796,0.8347715952201692,,,,1.1422549843201053,1,10
M_exp(p=1),2,71,2.8557878445992513,0.14543815411135907,-224.1465804793228,0.9059962784606341,0.08074331466620066,1.0,,,2a,10
M_gauss(p=2),2,71,3.1857466477783043,0.046701756572183006,-216.38351643225718,0.8029264236611983,0.009963246224884151,2.0,,,2a,10
M_quartic(p=4),2,71,3.335410967660041,0.0019164208184506704,-213.12396233732827,0.7495510041060451,-0.00013256294536070513,4.0,,,2a,10
M_freep,3,71,2.4466643979344727,0.2678636656700575,-233.12475177543004,45.29943916441065,3.955627692661697,0.05000000000104334,1.4173632968577758,,2a,10
M_power,2,71,2.4276839434203694,0.27354334957096493,-235.6776950562097,0.8681003824380322,,,,0.20477861853540846,2a,10
M_exp(p=1),2,71,23.64451758133805,0.7652697448048489,-74.06795086405901,3.920955074640854,1.0168669711762095,1.0,,,2b,10
M_gauss(p=2),2,71,9.836219486213817,0.902351219380479,-136.33919912326422,1.7299463021476325,0.2404426647585755,2.0,,,2b,10
M_quartic(p=4),2,71,0.3524266546664376,0.9965012947165088,-372.6970765375435,1.0681844842298875,0.01659606437884726,4.0,,,2b,10
M_freep,3,71,0.1502304314863493,0.9985085917951356,-431.23680298549215,1.0083834977208488,0.009294978707615717,4.432740638342466,0.09272800156695536,,2b,10
M_power,2,71,44.77523178689899,0.5554951989354113,-28.732757420715515,1.179931607622655,,,,1.6021425540156828,2b,10
