N,tau,S_volume,S_area,S_proper,S_volume_input,N_records,included
8,0.5,1.0,0.9851119396030628,0.7308843790036058,0.9985011244377109,1,True
8,0.55,1.0,0.9748223789657413,0.669984969788666,0.9985011244377109,1,True
8,0.6000000000000001,1.0,0.9646402934831233,0.6197122633733643,0.997004495503373,2,True
8,0.6500000000000001,1.0,0.9531337870775051,0.573211798313143,0.997004495503373,2,True
8,0.7000000000000002,1.0,0.9389434736891337,0.529405817708697,0.9955101098295706,3,True
8,0.7500000000000002,1.0,0.9221936914446086,0.48968154858573876,0.9925280548191384,5,True
8,0.8000000000000003,0.9985011244377108,0.9057427080235492,0.4529380127765604,0.9910403787728836,6,True
8,0.8500000000000003,0.9985011244377108,0.8869204367171583,0.4183235930086912,0.9880717128619305,8,True
8,0.9000000000000004,0.9970044955033731,0.8671875542922558,0.38693444231691715,0.9851119396030626,10,True
8,0.9500000000000004,0.9955101098295707,0.8453538346846597,0.35790059454761164,0.9806888951886662,13,True
8,1.0000000000000004,0.9940179640539353,0.8228346580560195,0.3305491224578704,0.9762857097579093,16,True
8,1.0500000000000005,0.9925280548191384,0.7997148918675974,0.3057461794987144,0.9719022941461366,19,True
8,1.1000000000000005,0.9910403787728838,0.7760797449251381,0.2828043395879066,0.9660883396864915,23,True
8,1.1500000000000006,0.9880717128619306,0.7508870785310918,0.2611918719951283,0.9588697805724845,28,True
8,1.2000000000000006,0.9851119396030628,0.7254232509901429,0.24159319009780744,0.9517051581364622,33,True
8,1.2500000000000007,0.9806888951886663,0.6997724977346128,0.22313016014843232,0.9431782403996666,39,True
8,1.3000000000000007,0.9762857097579094,0.6730066959373884,0.20638746062626287,0.933326680078202,46,True
8,1.3500000000000008,0.9704455335485083,0.6462944978862202,0.19090105916394864,0.922193691444608,54,True
8,1.4000000000000008,0.9646402934831233,0.6197122633733643,0.17631202223254958,0.9111935002961405,62,True
8,1.4500000000000008,0.9574325540909673,0.5924433632460272,0.16308234853706205,0.8976275964304349,72,True
8,1.5000000000000009,0.9502786705324273,0.5655254386995394,0.15084537099395728,0.8842636625608209,82,True
8,1.550000000000001,0.9417645335842492,0.5390214030763595,0.139317469064029,0.8684893116976679,94,True
8,1.600000000000001,0.9319277395258009,0.5129894496537246,0.12886370288030694,0.851717823571951,107,True
8,1.650000000000001,0.9208114378568051,0.4867522559599743,0.1191943410369602,0.8340182453034796,121,True
8,1.700000000000001,0.9098277346260307,0.4611647152086611,0.11008527348637859,0.8154623711872927,136,True
8,1.750000000000001,0.8962821643621097,0.43561345498720316,0.10182496186121691,0.7949309686378409,153,True
8,1.8000000000000012,0.882938261366389,0.4114778861171733,0.09404329665916163,0.7737549945594724,171,True
8,1.8500000000000012,0.8671875542922557,0.3869344423169172,0.08698670396460542,0.7508870785310902,191,True
8,1.9000000000000012,0.850441204540234,0.3638549426407563,0.08045960674953392,0.7265122023759873,213,True
8,1.9500000000000013,0.8327681557370921,0.3411271490784558,0.0743107242891873,0.701874967355394,236,True
8,2.0000000000000013,0.8130196499875723,0.31933965290015087,0.06873477647818323,0.6760420504946996,261,True
8,2.0500000000000016,0.7925497493467795,0.2984956258576716,0.06357722310874113,0.6492093766851474,288,True
8,2.1000000000000014,0.7714372079939833,0.2785939314996059,0.0587185258338735,0.6206425292934373,318,True
8,2.1500000000000012,0.7486377929108928,0.25924026064589406,0.054312547575410826,0.592443363246025,349,True
8,2.2000000000000015,0.7243359318069175,0.24050846320834465,0.050237174422208604,0.5629862915911923,383,True
8,2.2500000000000018,0.6987236258385964,0.2231301601484323,0.04639795008168097,0.5333912881738789,419,True
8,2.3000000000000016,0.6730066959373884,0.20638746062626287,0.04291645329009782,0.5038382474608163,457,True
8,2.3500000000000014,0.6462944978862202,0.19061492223155269,0.03969619260675794,0.4730756342483039,499,True
8,2.4000000000000017,0.6178559125018144,0.1755204006169991,0.03666253096804195,0.4435254918852095,542,True
8,2.450000000000002,0.5897833576128527,0.1616211924653414,0.033911536932489696,0.41333370907465194,589,True
8,2.5000000000000018,0.5604585449744929,0.1483768437269679,0.03131995013420112,0.38346765627402946,639,True
8,2.5500000000000016,0.5302005223147075,0.13580978662448281,0.0289698397152536,0.3546939407835027,691,True
8,2.600000000000002,0.500824268953506,0.12430712016578128,0.026796071179277813,0.32611669550390565,747,True
8,2.650000000000002,0.4702456787990258,0.11343786918555165,0.024748262362695256,0.2984956258576689,806,True
8,2.700000000000002,0.4402114937235312,0.10320891954189447,0.022891262304259485,0.27157959906986195,869,True
8,2.7500000000000018,0.41024530225904665,0.09390233746000211,0.021173603310117126,0.24598124150548634,935,True
8,2.800000000000002,0.38060240696771913,0.08517903018753105,0.019555474620758715,0.22146294382360387,1005,True
8,2.8500000000000023,0.35151601742253197,0.07703464679136109,0.01808811836837683,0.19819576987963633,1079,True
8,2.900000000000002,0.3231948134363545,0.06966898769808322,0.016730866033857344,0.17631202223254733,1157,True
8,2.950000000000002,0.2953778189174011,0.06281885573605897,0.015452260123909987,0.15590631453285717,1239,True
8,3.000000000000002,0.26874293184439696,0.05655735629998283,0.014292790924314007,0.13703759153854245,1325,True
8,3.0500000000000025,0.2434119508509322,0.05076744379601334,0.013200507541703207,0.11973192422663008,1415,True
8,3.1000000000000023,0.21914974844165724,0.04557025855153268,0.01220999988839518,0.10367440623939209,1511,True
8,3.150000000000002,0.19583163382696364,0.04078259017648117,0.011293815544866132,0.08936733892175319,1610,True
8,3.2000000000000024,0.17420892180546604,0.03638859054645711,0.010430719798818136,0.07634444553474434,1715,True
8,3.2500000000000027,0.1540466192464732,0.03241934391255032,0.009648044757150163,0.06473197471099253,1825,True
8,3.3000000000000025,0.13520001559846945,0.02883976831667717,0.008924098186063807,0.05447572986918986,1940,True
8,3.3500000000000023,0.11794934810730434,0.0256169765704101,0.008242100932690248,0.04550195440462157,2060,True
8,3.4000000000000026,0.10228420671553916,0.022686165264602758,0.00762365016271981,0.03766590388438474,2186,True
8,3.450000000000003,0.08790487632543507,0.020090664993126058,0.007051605200928693,0.030899972037936367,2318,True
8,3.5000000000000027,0.07509509764794023,0.017712228539691788,0.006512707569074053,0.025159996154291705,2455,True
8,3.5500000000000025,0.06367266050355584,0.01561536365021324,0.006024022821874352,0.02030272835990026,2598,True
8,3.6000000000000028,0.053503939086796584,0.013725498111064296,0.005572006814920207,0.016212057880446332,2748,True
8,3.650000000000003,0.044623261393994404,0.012046272536131237,0.005146183021375589,0.01282960356367432,2904,True
8,3.700000000000003,0.036938533666660646,0.010540819367905503,0.004760036227254773,0.010061892607971811,3066,True
8,3.7500000000000027,0.030303259439245268,0.009209681603968456,0.004396264833746801,0.007808831048658883,3235,True
8,3.800000000000003,0.02463714538277778,0.008034584438880863,0.00406638858088014,0.00599697562101975,3411,True
8,3.850000000000003,0.019851017772293294,0.006998915993430275,0.0037612647818169973,0.004557413642625888,3594,True
8,3.900000000000003,0.015851359650056858,0.006078483733764067,0.0034738214797681967,0.0034221030157690867,3785,True
8,3.950000000000003,0.012525358621074786,0.0052711854428881206,0.0032131612929484207,0.0025427731555529576,3983,True
8,4.0000000000000036,0.00980855808900122,0.004564254892744863,0.002972059892723935,0.0018696575373385483,4188,True
10,0.5,1.0,0.9851119396030626,0.7308843790036058,0.9985011244377109,1,True
10,0.55,1.0,0.9748223789657413,0.669984969788666,0.9985011244377109,1,True
10,0.6000000000000001,1.0,0.9646402934831233,0.6197122633733643,0.997004495503373,2,True
10,0.6500000000000001,1.0,0.9531337870775051,0.573211798313143,0.997004495503373,2,True
10,0.7000000000000002,1.0,0.9389434736891337,0.529405817708697,0.9955101098295706,3,True
10,0.7500000000000002,1.0,0.9221936914446086,0.4896815485857388,0.9925280548191384,5,True
10,0.8000000000000003,0.9985011244377109,0.9057427080235491,0.4529380127765603,0.9910403787728836,6,True
10,0.8500000000000003,0.9985011244377108,0.8869204367171583,0.41832359300869126,0.9880717128619305,8,True
10,0.9000000000000004,0.997004495503373,0.8671875542922558,0.3869344423169172,0.9851119396030626,10,True
10,0.9500000000000004,0.9955101098295704,0.8453538346846597,0.3579005945476117,0.9806888951886662,13,True
10,1.0000000000000004,0.9940179640539353,0.8228346580560196,0.3305491224578704,0.9762857097579093,16,True
10,1.0500000000000005,0.9925280548191384,0.7997148918675973,0.3057461794987144,0.9719022941461366,19,True
10,1.1000000000000005,0.9910403787728839,0.7760797449251382,0.2828043395879066,0.9660883396864915,23,True
10,1.1500000000000006,0.9880717128619306,0.7508870785310918,0.2611918719951283,0.9588697805724845,28,True
10,1.2000000000000006,0.9851119396030628,0.7254232509901429,0.2415931900978075,0.9517051581364622,33,True
10,1.2500000000000007,0.9806888951886662,0.6997724977346128,0.2231301601484323,0.9431782403996666,39,True
10,1.3000000000000007,0.9762857097579095,0.6730066959373884,0.20638746062626287,0.933326680078202,46,True
10,1.3500000000000008,0.9704455335485083,0.6462944978862202,0.19090105916394864,0.922193691444608,54,True
10,1.4000000000000008,0.9646402934831234,0.6197122633733643,0.17631202223254958,0.9111935002961405,62,True
10,1.4500000000000008,0.9574325540909672,0.5924433632460272,0.16308234853706205,0.8976275964304349,72,True
10,1.5000000000000009,0.9502786705324273,0.5655254386995394,0.15084537099395728,0.8842636625608209,82,True
10,1.550000000000001,0.9417645335842492,0.5390214030763595,0.139317469064029,0.8684893116976679,94,True
10,1.600000000000001,0.9319277395258008,0.5129894496537246,0.12886370288030694,0.851717823571951,107,True
10,1.650000000000001,0.9208114378568051,0.4867522559599742,0.11919434103696021,0.8340182453034796,121,True
10,1.700000000000001,0.9098277346260306,0.46116471520866104,0.11008527348637859,0.8154623711872927,136,True
10,1.750000000000001,0.8962821643621097,0.43561345498720316,0.10182496186121691,0.7949309686378409,153,True
10,1.8000000000000012,0.882938261366389,0.4114778861171732,0.09404329665916164,0.7737549945594724,171,True
10,1.8500000000000012,0.8671875542922558,0.3869344423169172,0.08698670396460542,0.7508870785310902,191,True
10,1.9000000000000012,0.8504412045402339,0.3638549426407563,0.08045960674953392,0.7265122023759873,213,True
10,1.9500000000000013,0.8327681557370921,0.3411271490784558,0.0743107242891873,0.701874967355394,236,True
10,2.0000000000000013,0.8130196499875723,0.31933965290015087,0.06873477647818323,0.6760420504946996,261,True
10,2.0500000000000016,0.7925497493467795,0.2984956258576716,0.06357722310874113,0.6492093766851474,288,True
10,2.1000000000000014,0.7714372079939833,0.2785939314996059,0.0587185258338735,0.6206425292934373,318,True
10,2.1500000000000012,0.7486377929108928,0.25924026064589406,0.054312547575410826,0.592443363246025,349,True
10,2.2000000000000015,0.7243359318069175,0.24050846320834465,0.050237174422208604,0.5629862915911923,383,True
10,2.2500000000000018,0.6987236258385964,0.2231301601484323,0.04639795008168097,0.5333912881738789,419,True
10,2.3000000000000016,0.6730066959373884,0.20638746062626287,0.04291645329009782,0.5038382474608163,457,True
10,2.3500000000000014,0.6462944978862202,0.19061492223155269,0.03969619260675794,0.4730756342483039,499,True
10,2.4000000000000017,0.6178559125018144,0.1755204006169991,0.03666253096804195,0.4435254918852095,542,True
10,2.450000000000002,0.5897833576128526,0.1616211924653414,0.033911536932489696,0.41333370907465194,589,True
10,2.5000000000000018,0.5604585449744929,0.1483768437269679,0.03131995013420112,0.38346765627402946,639,True
10,2.5500000000000016,0.5302005223147075,0.13580978662448281,0.0289698397152536,0.3546939407835027,691,True
10,2.600000000000002,0.500824268953506,0.12430712016578128,0.026796071179277813,0.32611669550390565,747,True
10,2.650000000000002,0.4702456787990258,0.11343786918555165,0.024748262362695256,0.2984956258576689,806,True
10,2.700000000000002,0.4402114937235312,0.10320891954189447,0.022891262304259485,0.27157959906986195,869,True
10,2.7500000000000018,0.4102453022590466,0.09390233746000211,0.021173603310117126,0.24598124150548634,935,True
10,2.800000000000002,0.38060240696771913,0.08517903018753105,0.019555474620758715,0.22146294382360387,1005,True
10,2.8500000000000023,0.35151601742253197,0.07703464679136109,0.018088118368376833,0.19819576987963633,1079,True
10,2.900000000000002,0.3231948134363545,0.06966898769808322,0.016730866033857344,0.17631202223254733,1157,True
10,2.950000000000002,0.2953778189174011,0.06281885573605897,0.015452260123909987,0.15590631453285717,1239,True
10,3.000000000000002,0.26874293184439696,0.056557356299982826,0.014292790924314009,0.13703759153854245,1325,True
10,3.0500000000000025,0.2434119508509322,0.05076744379601334,0.013200507541703207,0.11973192422663008,1415,True
10,3.1000000000000023,0.21914974844165724,0.04557025855153268,0.01220999988839518,0.10367440623939209,1511,True
10,3.150000000000002,0.19583163382696364,0.04078259017648117,0.011293815544866132,0.08936733892175319,1610,True
10,3.2000000000000024,0.17420892180546604,0.03638859054645711,0.010430719798818136,0.07634444553474434,1715,True
10,3.2500000000000027,0.1540466192464732,0.03241934391255032,0.009648044757150163,0.06473197471099253,1825,True
10,3.3000000000000025,0.13520001559846945,0.02883976831667717,0.008924098186063807,0.05447572986918986,1940,True
10,3.3500000000000023,0.11794934810730434,0.0256169765704101,0.008242100932690248,0.04550195440462157,2060,True
10,3.4000000000000026,0.10228420671553917,0.022686165264602758,0.00762365016271981,0.03766590388438474,2186,True
10,3.450000000000003,0.08790487632543507,0.020090664993126058,0.007051605200928693,0.030899972037936367,2318,True
10,3.5000000000000027,0.07509509764794023,0.017712228539691788,0.006512707569074053,0.025159996154291705,2455,True
10,3.5500000000000025,0.06367266050355584,0.01561536365021324,0.006024022821874353,0.02030272835990026,2598,True
10,3.6000000000000028,0.053503939086796584,0.013725498111064296,0.005572006814920207,0.016212057880446332,2748,True
10,3.650000000000003,0.044623261393994404,0.012046272536131237,0.005146183021375589,0.01282960356367432,2904,True
10,3.700000000000003,0.036938533666660646,0.010540819367905503,0.004760036227254773,0.010061892607971811,3066,True
10,3.7500000000000027,0.030303259439245268,0.009209681603968456,0.004396264833746801,0.007808831048658883,3235,True
10,3.800000000000003,0.024637145382777784,0.008034584438880863,0.00406638858088014,0.00599697562101975,3411,True
10,3.850000000000003,0.019851017772293294,0.006998915993430276,0.0037612647818169973,0.004557413642625888,3594,True
10,3.900000000000003,0.015851359650056858,0.006078483733764066,0.0034738214797681967,0.0034221030157690867,3785,True
10,3.950000000000003,0.012525358621074786,0.0052711854428881206,0.003213161292948421,0.0025427731555529576,3983,True
10,4.0000000000000036,0.00980855808900122,0.004564254892744863,0.002972059892723935,0.0018696575373385483,4188,True
